id,N_peaks,env_peak1_pos,env_peak2_pos,env_peak3_pos,env_peak1_val,env_peak2_val,env_peak3_val,peak1_pos,peak2_pos,peak3_pos,peak1_val,peak2_val,peak3_val,duration,silent_phase,silent_rateo,atrial_ventricular_ratio,atrial_ventricular_time_ratio,third_major_ratio,third_second_ratio,n_peaks_duration_rateo,class
6,2,0.31499,0.47666,,0.1535,0.13832,,0.31057,0.47617,,0.224,0.172,,0.16216,0.016216,0.1,1.3023,0.65222,,,12.3333,MAP_A
6,2,0.314,0.47666,,0.20577,0.12141,,0.30958,0.47273,,0.313,0.148,,0.16314,0.021622,0.13253,2.1149,0.65489,,,12.259,MAP_A
6,3,0.47518,0.31351,0.1887,0.15689,0.064652,0.0048139,0.4742,0.30909,0.20393,0.215,0.1,0.008,0.28698,0.046683,0.16267,0.037209,0.43005,0.037209,0.08,10.4538,MAP_A
6,2,0.47617,0.31351,,0.16763,0.080491,,0.47371,0.3086,,0.22,0.115,,0.16314,0.019656,0.12048,0.52273,0.65145,,,12.259,MAP_A
6,2,0.31302,0.47764,,0.1937,0.12103,,0.30909,0.47666,,0.287,0.148,,0.16511,0.020147,0.12202,1.9392,0.64845,,,12.1131,MAP_A
6,3,0.3145,0.47961,0.17592,0.24944,0.10045,0.0055185,0.31057,0.47813,0.17494,0.379,0.12,0.008,0.30418,0.034889,0.1147,0.066667,0.36588,0.021108,0.066667,9.8627,MAP_A
6,2,0.47568,0.31253,,0.14197,0.08009,,0.47322,0.30762,,0.187,0.12,,0.16364,0.015725,0.096096,0.64171,0.65005,,,12.2222,MAP_A
6,3,0.46781,0.30909,0.21278,0.38227,0.032307,0.0051757,0.47076,0.30319,0.18624,0.553,0.05,0.005,0.25553,0.051106,0.2,0.0090416,0.39562,0.0090416,0.1,11.7404,MAP_A
6,2,0.46781,0.30909,,0.42402,0.042925,,0.47224,0.30467,,0.581,0.065,,0.15921,0.047174,0.2963,0.11188,0.64516,,,12.5617,MAP_A
6,2,0.4683,0.31007,,0.34748,0.043001,,0.47174,0.30418,,0.506,0.066,,0.15872,0.039312,0.24768,0.13043,0.64479,,,12.6006,MAP_A
6,3,0.46978,0.30958,0.2231,0.36211,0.051471,0.0054649,0.4742,0.30516,0.21916,0.477,0.074,0.008,0.24717,0.045209,0.1829,0.016771,0.46218,0.016771,0.10811,12.1372,MAP_A
6,3,0.46929,0.31007,0.18182,0.35199,0.10652,0.0054143,0.47371,0.30467,0.18477,0.473,0.167,0.008,0.28796,0.050614,0.17577,0.016913,0.39004,0.016913,0.047904,10.4181,MAP_A
6,2,0.4688,0.30663,,0.3516,0.062806,,0.47174,0.30221,,0.506,0.096,,0.16265,0.029484,0.18127,0.18972,0.64062,,,12.2961,MAP_A
6,3,0.4688,0.30713,0.19705,0.41386,0.048969,0.0053516,0.47224,0.30172,0.2,0.57,0.078,0.011,0.27224,0.063391,0.23285,0.019298,0.42352,0.019298,0.14103,11.0199,MAP_A
6,2,0.47518,0.31007,,0.23019,0.13442,,0.47224,0.30516,,0.304,0.199,,0.1656,0.018673,0.11276,0.65461,0.6462,,,12.0772,MAP_A
