Var1,Var2,Var3
rov trace:,NaN,NaN
,-0.015,-0.017
,-0.018,-0.021
,-0.022,-0.026
,-0.025,-0.029
,-0.026,-0.029
,-0.026,-0.027
,-0.025,-0.024
,-0.024,-0.022
,-0.024,-0.023
,-0.026,-0.025
,-0.028,-0.028
,-0.03,-0.028
,-0.031,-0.026
,-0.032,-0.022
,-0.034,-0.018
,-0.037,-0.014
,-0.039,-0.012
,-0.04,-0.01
,-0.036,-0.007
,-0.026,-0.003
,-0.012,0.002
,0.002,0.008
,0.012,0.013
,0.016,0.016
,0.016,0.017
,0.015,0.017
,0.015,0.017
,0.017,0.018
,0.022,0.02
,0.026,0.024
,0.029,0.026
,0.032,0.024
,0.034,0.018
,0.037,0.011
,0.04,0.004
,0.041,0
