Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
rov trace:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,-0.008,-0.002,-0.003,-0.003,0.007,-0.01,0.009,-0.008,0.002
,-0.007,-0.002,-0.005,-0.004,0.005,-0.007,0.006,-0.007,-0.004
,-0.007,-0.001,-0.007,-0.005,0.006,-0.006,0.004,-0.007,-0.007
,-0.007,0.002,-0.007,-0.006,0.009,-0.008,0.002,-0.007,-0.007
,-0.008,0.005,-0.006,-0.006,0.012,-0.011,0.002,-0.008,-0.005
,-0.009,0.009,-0.005,-0.006,0.012,-0.014,0.004,-0.009,-0.002
,-0.01,0.011,-0.004,-0.006,0.009,-0.015,0.004,-0.01,-0.001
,-0.01,0.012,-0.004,-0.007,0.003,-0.013,0.002,-0.01,-0.002
,-0.009,0.012,-0.003,-0.011,-0.004,-0.011,-0.003,-0.009,-0.005
,-0.009,0.009,-0.003,-0.015,-0.011,-0.008,-0.011,-0.009,-0.008
,-0.008,0.007,-0.003,-0.017,-0.015,-0.007,-0.018,-0.008,-0.01
,-0.007,0.005,-0.004,-0.019,-0.018,-0.006,-0.024,-0.007,-0.01
,-0.005,0.004,-0.006,-0.02,-0.019,-0.004,-0.027,-0.005,-0.009
,-0.002,0.005,-0.008,-0.021,-0.02,-0.002,-0.028,-0.002,-0.007
,0.001,0.007,-0.011,-0.022,-0.02,0.001,-0.028,0.001,-0.004
,0.003,0.008,-0.012,-0.024,-0.019,0.005,-0.029,0.003,-0.003
,0.004,0.007,-0.011,-0.025,-0.017,0.008,-0.03,0.004,-0.003
,0.002,0.005,-0.008,-0.025,-0.014,0.011,-0.031,0.002,-0.004
,-0.002,0.001,-0.002,-0.023,-0.01,0.012,-0.029,-0.002,-0.006
,-0.004,-0.003,0.003,-0.02,-0.007,0.011,-0.025,-0.004,-0.007
,-0.004,-0.005,0.005,-0.017,-0.006,0.009,-0.021,-0.004,-0.006
,-0.002,-0.005,0.004,-0.015,-0.005,0.007,-0.018,-0.002,-0.003
,0.002,-0.003,-0.001,-0.014,-0.006,0.005,-0.016,0.002,0.002
,0.006,-0.003,-0.005,-0.014,-0.007,0.004,-0.015,0.006,0.005
,0.007,-0.004,-0.007,-0.013,-0.008,0.003,-0.012,0.007,0.007
,0.006,-0.008,-0.004,-0.012,-0.007,0.002,-0.006,0.006,0.006
,0.005,-0.011,0,-0.01,-0.004,0,0.002,0.005,0.004
,0.006,-0.012,0.004,-0.007,0.001,-0.002,0.012,0.006,0.004
,0.007,-0.01,0.004,-0.004,0.005,-0.003,0.021,0.007,0.006
,0.008,-0.006,0.003,0,0.008,-0.004,0.028,0.008,0.009
,0.008,-0.002,0,0.002,0.009,-0.004,0.033,0.008,0.012
,0.006,0,-0.002,0.003,0.008,-0.004,0.035,0.006,0.014
,0.003,0,-0.002,0.004,0.006,-0.004,0.037,0.003,0.013
,-0.001,-0.003,-0.001,0.006,0.006,-0.004,0.039,-0.001,0.011
,-0.004,-0.004,0.002,0.01,0.007,-0.004,0.042,-0.004,0.009
,-0.006,-0.005,0.005,0.013,0.009,-0.004,0.044,-0.006,0.007
,-0.007,-0.003,0.007,0.015,0.013,-0.005,0.045,-0.007,0.006
,-0.008,-0.001,0.008,0.017,0.015,-0.007,0.043,-0.008,0.006
,-0.008,0.001,0.007,0.017,0.015,-0.009,0.039,-0.008,0.005
,-0.006,0.002,0.005,0.017,0.014,-0.01,0.034,-0.006,0.004
,-0.004,0.001,0.004,0.017,0.012,-0.011,0.027,-0.004,0.003
,-0.001,0,0.003,0.016,0.01,-0.011,0.021,-0.001,0.002
,-0.001,-0.001,0.002,0.015,0.008,-0.01,0.016,-0.001,0.001
,-0.003,-0.001,0.001,0.013,0.006,-0.008,0.011,-0.003,-0.001
,-0.006,0.001,0,0.011,0.005,-0.006,0.005,-0.006,-0.003
,-0.01,0.005,0,0.011,0.002,-0.005,0,-0.01,-0.004
,-0.012,0.008,0.001,0.011,0,-0.005,-0.004,-0.012,-0.005
,-0.012,0.009,0.003,0.012,-0.001,-0.005,-0.007,-0.012,-0.005
,-0.01,0.008,0.007,0.012,-0.002,-0.004,-0.007,-0.01,-0.005
,-0.008,0.005,0.009,0.01,-0.002,0,-0.006,-0.008,-0.004
,-0.006,0.002,0.01,0.006,-0.003,0.005,-0.006,-0.006,-0.003
,-0.005,0.001,0.008,0.003,-0.005,0.01,-0.007,-0.005,-0.003
,-0.004,0.002,0.004,0.001,-0.008,0.013,-0.009,-0.004,-0.003
,-0.004,0.004,-0.001,0.001,-0.01,0.014,-0.012,-0.004,-0.004
,-0.002,0.004,-0.005,0.003,-0.012,0.012,-0.014,-0.002,-0.006
